title,app_id,manifest_version,script-scr:unsafe-eval,script-scr:unsafe-eval-base64-hash,script-scr:unsafe-inline,script-scr:unsafe-inline-base64-hash,script-src:non-localhost-http-url,style-scr:unsafe-eval,style-scr:unsafe-eval-base64-hash,style-scr:unsafe-inline,style-scr:unsafe-inline-base64-hash,style-src:non-localhost-http-url,good#default-src,good#base-uri,good#form-action,good#frame-ancestors,good#plugin-types,good#report-uri,good#sandbox
1Password X  Password Manager,aeblfdkhhhdcdjpifhhbdiojplfjncoa,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Animated Gif Capture,aecmckhhfknljgicfkpbinfkpnijehcm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf 2020 Custom New Tab,aecpkfiljhadcgbaoenccjkhlbehmllp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video Downloader professional,aeeajafchghccbnppaimjhhfpejabole,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Popup Blocker (strict),aefkmifgmaafnojlojpnekbpbmjiiogg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sortify,aehmpfeibpcclkbjjkclhncmjncpebef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talend API Tester - Free Edition,aejoelaoggembcahagimdiliamlcdmfm,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bundle It,aelfagcfmljmfbbmhbmhnfbgokfnbgno,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granny Jigsaw,aemomhikahmpjgggbnbhlogcgghenfni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS Bangtan Boys Themes - New Tab,aencijhbjmlafjmmdanijlhgflipjbfn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sniply Drive Conversion Through Content,aepeihpnlhiiipbchlidcipfpiaecpkd,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horses Wallpaper HD Custom New Tab,aepfoaiolpehkdnakjejdmeghohkllhn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monster Craft,afbacpkdgllonpcljeplhnjddoicbhmc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Far Cry 5 New Tab & Wallpapers Collection,afbodbojccmmeepbialhedadkjgaemho,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kpop GFriend HD Wallpapers New Tab Themes,affifmohhipajjolpdhcbjfjgpaphjcp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheFreeDictionarycom Extension,afgabimphpgkjochcoogplolgpcagmap,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day6 Kpop HD Wallpapers Day6 New Tab Themes,afgjhanoiadihdeoiajllhcbkkldcoli,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Im a Gentleman,afjaicccalbbickikgdegaihmajaidpd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimetsu No Yaiba Wallpaper HD Custom New Tab,afkjpoglidoepmmjdbkcpfnmnojnpfao,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTS Chibi Wallpaper HD Custom New Tab,aflonncbhoddpcakidebbfpdlemfkmpa,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quick QR Code Generator,afpbjjgbdimpioenaedcjgkaigggcdpp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cs Go Wallpapers & Cs Go Games,agbimegjdgkoocgpmdjcdkmppmfldfkp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Commando Sniper,agbpkklbokpohfingabkdchinkfnhfbm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet Camaro Wallpaper HD Custom New Tab,agcgogncbfponjpngmiigjpdfgeknleg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
